Publisher,Rank,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Gameloft,1,1,1,1,1,1,1,1,1,1
Gathering of Developers,9,9,9,9,9,9,9,9,9,9
General Entertainment,1,1,1,1,1,1,1,1,1,1
Genki,8,8,8,8,8,8,8,8,8,8
Genterprise,1,1,1,1,1,1,1,1,1,1
Ghostlight,14,14,14,14,14,14,14,14,14,14
Giga,1,1,1,1,1,1,1,1,1,1
Giza10,1,1,1,1,1,1,1,1,1,1
Glams,1,1,1,1,1,1,1,1,1,1
Global A Entertainment,4,4,4,4,4,4,4,4,4,4
Global Star,39,39,39,39,39,39,39,39,39,39
Gotham Games,7,7,7,7,7,7,7,7,7,7
Graffiti,6,6,6,6,6,6,6,6,6,6
Grand Prix Games,1,1,1,1,1,1,1,1,1,1
Graphsim Entertainment,1,1,1,1,1,1,1,1,1,1
Gremlin Interactive Ltd,9,9,9,9,9,9,9,9,9,9
Griffin International,1,1,1,1,1,1,1,1,1,1
Groove Games,2,2,2,2,2,2,2,2,2,2
GungHo,13,13,13,13,13,13,13,13,13,13
Gust,13,13,13,13,13,13,13,13,13,13
HAL Laboratory,1,1,1,1,1,1,1,1,1,1
HMH Interactive,2,2,2,2,2,2,2,2,2,2
Hackberry,7,7,7,7,7,7,7,7,7,7
Hamster Corporation,2,2,2,2,2,2,2,2,2,2
Happinet,5,5,5,5,5,5,5,5,5,5
Harmonix Music Systems,2,2,2,2,2,2,2,2,2,2
Hasbro Interactive,16,16,16,16,16,16,16,16,16,16
Havas Interactive,1,1,1,1,1,1,1,1,1,1
Headup Games,1,1,1,1,1,1,1,1,1,1
Hearty Robin,1,1,1,1,1,1,1,1,1,1
Hect,3,3,3,3,3,3,3,3,3,3
Hello Games,1,1,1,1,1,1,1,1,1,1
Her Interactive,1,1,1,1,1,1,1,1,1,1
Hip Interactive,5,5,5,5,5,5,5,5,5,5
Home Entertainment Suppliers,4,4,4,4,4,4,4,4,4,4
Hudson Entertainment,11,11,11,11,11,11,11,11,11,11
Hudson Soft,81,81,81,81,81,81,81,81,81,81
Human Entertainment,13,13,13,13,13,13,13,13,13,13
HuneX,2,2,2,2,2,2,2,2,2,2
IE Institute,5,5,5,5,5,5,5,5,5,5
ITT Family Games,1,1,1,1,1,1,1,1,1,1
Iceberg Interactive,3,3,3,3,3,3,3,3,3,3
Idea Factory,128,128,128,128,128,128,128,128,128,128
Idea Factory International,6,6,6,6,6,6,6,6,6,6
Ignition Entertainment,59,59,59,59,59,59,59,59,59,59
Illusion Softworks,1,1,1,1,1,1,1,1,1,1
Imadio,1,1,1,1,1,1,1,1,1,1
Image Epoch,1,1,1,1,1,1,1,1,1,1
Imageworks,1,1,1,1,1,1,1,1,1,1
Imagic,4,4,4,4,4,4,4,4,4,4
Imagineer,16,16,16,16,16,16,16,16,16,16
Imax,1,1,1,1,1,1,1,1,1,1
Indie Games,3,3,3,3,3,3,3,3,3,3
Infogrames,61,61,61,61,61,61,61,61,61,61
Insomniac Games,3,3,3,3,3,3,3,3,3,3
Interchannel,4,4,4,4,4,4,4,4,4,4
Interchannel-Holon,1,1,1,1,1,1,1,1,1,1
Intergrow,1,1,1,1,1,1,1,1,1,1
Interplay,30,30,30,30,30,30,30,30,30,30
Interplay Productions,1,1,1,1,1,1,1,1,1,1
"Interworks Unlimited, Inc.",1,1,1,1,1,1,1,1,1,1
Inti Creates,1,1,1,1,1,1,1,1,1,1
Introversion Software,1,1,1,1,1,1,1,1,1,1
Irem Software Engineering,12,12,12,12,12,12,12,12,12,12
Ivolgamus,1,1,1,1,1,1,1,1,1,1
JVC,8,8,8,8,8,8,8,8,8,8
Jack of All Games,3,3,3,3,3,3,3,3,3,3
Jaleco,23,23,23,23,23,23,23,23,23,23
Jester Interactive,3,3,3,3,3,3,3,3,3,3
JoWood Productions,22,22,22,22,22,22,22,22,22,22
Jorudan,3,3,3,3,3,3,3,3,3,3
Just Flight,1,1,1,1,1,1,1,1,1,1
KID,4,4,4,4,4,4,4,4,4,4
KSS,1,1,1,1,1,1,1,1,1,1
Kadokawa Games,15,15,15,15,15,15,15,15,15,15
Kadokawa Shoten,50,50,50,50,50,50,50,50,50,50
Kaga Create,6,6,6,6,6,6,6,6,6,6
Kalypso Media,26,26,26,26,26,26,26,26,26,26
Kamui,1,1,1,1,1,1,1,1,1,1
Kando Games,1,1,1,1,1,1,1,1,1,1
Karin Entertainment,1,1,1,1,1,1,1,1,1,1
Kemco,21,21,21,21,21,21,21,21,21,21
Kids Station,1,1,1,1,1,1,1,1,1,1
King Records,1,1,1,1,1,1,1,1,1,1
Knowledge Adventure,4,4,4,4,4,4,4,4,4,4
Koch Media,17,17,17,17,17,17,17,17,17,17
Kokopeli Digital Studios,1,1,1,1,1,1,1,1,1,1
Konami Digital Entertainment,823,823,823,823,823,823,823,823,823,823
Kool Kizz,1,1,1,1,1,1,1,1,1,1
LEGO Media,7,7,7,7,7,7,7,7,7,7
LSP Games,4,4,4,4,4,4,4,4,4,4
Laguna,4,4,4,4,4,4,4,4,4,4
Legacy Interactive,1,1,1,1,1,1,1,1,1,1
Level 5,27,27,27,27,27,27,27,27,27,27
Lexicon Entertainment,2,2,2,2,2,2,2,2,2,2
Licensed 4U,3,3,3,3,3,3,3,3,3,3
Lighthouse Interactive,1,1,1,1,1,1,1,1,1,1
Liquid Games,2,2,2,2,2,2,2,2,2,2
Little Orbit,26,26,26,26,26,26,26,26,26,26
Locus,1,1,1,1,1,1,1,1,1,1
LucasArts,89,89,89,89,89,89,89,89,89,89
MC2 Entertainment,3,3,3,3,3,3,3,3,3,3
MLB.com,1,1,1,1,1,1,1,1,1,1
MTO,8,8,8,8,8,8,8,8,8,8
MTV Games,40,40,40,40,40,40,40,40,40,40
Mad Catz,3,3,3,3,3,3,3,3,3,3
Magical Company,1,1,1,1,1,1,1,1,1,1
Magix,2,2,2,2,2,2,2,2,2,2
Majesco Entertainment,90,90,90,90,90,90,90,90,90,90
Mamba Games,2,2,2,2,2,2,2,2,2,2
Marvel Entertainment,1,1,1,1,1,1,1,1,1,1
Marvelous Entertainment,12,12,12,12,12,12,12,12,12,12
Marvelous Games,1,1,1,1,1,1,1,1,1,1
Marvelous Interactive,56,56,56,56,56,56,56,56,56,56
Masque Publishing,1,1,1,1,1,1,1,1,1,1
Mastertronic,13,13,13,13,13,13,13,13,13,13
Mastiff,16,16,16,16,16,16,16,16,16,16
Mattel Interactive,12,12,12,12,12,12,12,12,12,12
Max Five,1,1,1,1,1,1,1,1,1,1
Maximum Family Games,1,1,1,1,1,1,1,1,1,1
Maxis,3,3,3,3,3,3,3,3,3,3
Media Entertainment,1,1,1,1,1,1,1,1,1,1
Media Factory,2,2,2,2,2,2,2,2,2,2
Media Rings,3,3,3,3,3,3,3,3,3,3
Media Works,5,5,5,5,5,5,5,5,5,5
MediaQuest,1,1,1,1,1,1,1,1,1,1
Men-A-Vision,1,1,1,1,1,1,1,1,1,1
Mentor Interactive,5,5,5,5,5,5,5,5,5,5
Mercury Games,4,4,4,4,4,4,4,4,4,4
Merscom LLC,1,1,1,1,1,1,1,1,1,1
Metro 3D,12,12,12,12,12,12,12,12,12,12
Michaelsoft,1,1,1,1,1,1,1,1,1,1
Micro Cabin,3,3,3,3,3,3,3,3,3,3
Microids,10,10,10,10,10,10,10,10,10,10
Microprose,5,5,5,5,5,5,5,5,5,5
Microsoft Game Studios,189,189,189,189,189,189,189,189,189,189
Midas Interactive Entertainment,24,24,24,24,24,24,24,24,24,24
Midway Games,196,196,196,196,196,196,196,196,196,196
Milestone,1,1,1,1,1,1,1,1,1,1
Milestone S.r.l,2,2,2,2,2,2,2,2,2,2
Milestone S.r.l.,16,16,16,16,16,16,16,16,16,16
Minato Station,3,3,3,3,3,3,3,3,3,3
Mindscape,32,32,32,32,32,32,32,32,32,32
Mirai Shounen,1,1,1,1,1,1,1,1,1,1
Misawa,2,2,2,2,2,2,2,2,2,2
Mitsui,1,1,1,1,1,1,1,1,1,1
Mojang,5,5,5,5,5,5,5,5,5,5
Monte Christo Multimedia,1,1,1,1,1,1,1,1,1,1
Moss,2,2,2,2,2,2,2,2,2,2
Mud Duck Productions,3,3,3,3,3,3,3,3,3,3
Mumbo Jumbo,6,6,6,6,6,6,6,6,6,6
Mycom,1,1,1,1,1,1,1,1,1,1
Myelin Media,3,3,3,3,3,3,3,3,3,3
Mystique,1,1,1,1,1,1,1,1,1,1
NCS,3,3,3,3,3,3,3,3,3,3
NCSoft,6,6,6,6,6,6,6,6,6,6
NDA Productions,1,1,1,1,1,1,1,1,1,1
NEC,3,3,3,3,3,3,3,3,3,3
NEC Interchannel,8,8,8,8,8,8,8,8,8,8
Namco Bandai Games,928,928,928,928,928,928,928,928,928,928
Natsume,17,17,17,17,17,17,17,17,17,17
Navarre Corp,1,1,1,1,1,1,1,1,1,1
Naxat Soft,1,1,1,1,1,1,1,1,1,1
Neko Entertainment,7,7,7,7,7,7,7,7,7,7
NetRevo,2,2,2,2,2,2,2,2,2,2
New,1,1,1,1,1,1,1,1,1,1
New World Computing,1,1,1,1,1,1,1,1,1,1
NewKidCo,9,9,9,9,9,9,9,9,9,9
Nexon,1,1,1,1,1,1,1,1,1,1
Nichibutsu,1,1,1,1,1,1,1,1,1,1
Nihon Falcom Corporation,7,7,7,7,7,7,7,7,7,7
Nintendo,696,696,696,696,696,696,696,696,696,696
Nippon Amuse,1,1,1,1,1,1,1,1,1,1
Nippon Columbia,7,7,7,7,7,7,7,7,7,7
Nippon Ichi Software,104,104,104,104,104,104,104,104,104,104
Nippon Telenet,2,2,2,2,2,2,2,2,2,2
Nitroplus,2,2,2,2,2,2,2,2,2,2
Nobilis,13,13,13,13,13,13,13,13,13,13
Nordcurrent,5,5,5,5,5,5,5,5,5,5
Nordic Games,35,35,35,35,35,35,35,35,35,35
NovaLogic,3,3,3,3,3,3,3,3,3,3
Number None,1,1,1,1,1,1,1,1,1,1
O-Games,17,17,17,17,17,17,17,17,17,17
O3 Entertainment,3,3,3,3,3,3,3,3,3,3
Ocean,14,14,14,14,14,14,14,14,14,14
Office Create,2,2,2,2,2,2,2,2,2,2
On Demand,1,1,1,1,1,1,1,1,1,1
Ongakukan,1,1,1,1,1,1,1,1,1,1
Origin Systems,1,1,1,1,1,1,1,1,1,1
Otomate,1,1,1,1,1,1,1,1,1,1
Oxygen Interactive,21,21,21,21,21,21,21,21,21,21
P2 Games,3,3,3,3,3,3,3,3,3,3
PM Studios,1,1,1,1,1,1,1,1,1,1
PQube,39,39,39,39,39,39,39,39,39,39
Pacific Century Cyber Works,1,1,1,1,1,1,1,1,1,1
Pack In Soft,1,1,1,1,1,1,1,1,1,1
Pack-In-Video,2,2,2,2,2,2,2,2,2,2
Palcom,1,1,1,1,1,1,1,1,1,1
Panther Software,1,1,1,1,1,1,1,1,1,1
Paon,6,6,6,6,6,6,6,6,6,6
Paon Corporation,1,1,1,1,1,1,1,1,1,1
Paradox Development,1,1,1,1,1,1,1,1,1,1
Paradox Interactive,23,23,23,23,23,23,23,23,23,23
Parker Bros.,7,7,7,7,7,7,7,7,7,7
Performance Designed Products,2,2,2,2,2,2,2,2,2,2
Phantagram,1,1,1,1,1,1,1,1,1,1
Phantom EFX,1,1,1,1,1,1,1,1,1,1
Phenomedia,4,4,4,4,4,4,4,4,4,4
Phoenix Games,1,1,1,1,1,1,1,1,1,1
Piacci,1,1,1,1,1,1,1,1,1,1
Pinnacle,5,5,5,5,5,5,5,5,5,5
Pioneer LDC,4,4,4,4,4,4,4,4,4,4
Play It,14,14,14,14,14,14,14,14,14,14
PlayV,4,4,4,4,4,4,4,4,4,4
Playlogic Game Factory,14,14,14,14,14,14,14,14,14,14
Playmates,1,1,1,1,1,1,1,1,1,1
Playmore,1,1,1,1,1,1,1,1,1,1
Plenty,1,1,1,1,1,1,1,1,1,1
Pony Canyon,1,1,1,1,1,1,1,1,1,1
PopCap Games,15,15,15,15,15,15,15,15,15,15
PopTop Software,1,1,1,1,1,1,1,1,1,1
Popcorn Arcade,10,10,10,10,10,10,10,10,10,10
Pow,1,1,1,1,1,1,1,1,1,1
Princess Soft,3,3,3,3,3,3,3,3,3,3
Prototype,27,27,27,27,27,27,27,27,27,27
Psygnosis,32,32,32,32,32,32,32,32,32,32
Quelle,1,1,1,1,1,1,1,1,1,1
Quest,1,1,1,1,1,1,1,1,1,1
Quinrose,14,14,14,14,14,14,14,14,14,14
Quintet,1,1,1,1,1,1,1,1,1,1
RED Entertainment,1,1,1,1,1,1,1,1,1,1
RTL,8,8,8,8,8,8,8,8,8,8
Rage Software,7,7,7,7,7,7,7,7,7,7
Rain Games,1,1,1,1,1,1,1,1,1,1
Rebellion,2,2,2,2,2,2,2,2,2,2
Rebellion Developments,2,2,2,2,2,2,2,2,2,2
Red Orb,2,2,2,2,2,2,2,2,2,2
Red Storm Entertainment,3,3,3,3,3,3,3,3,3,3
RedOctane,4,4,4,4,4,4,4,4,4,4
Reef Entertainment,7,7,7,7,7,7,7,7,7,7
Revolution (Japan),1,1,1,1,1,1,1,1,1,1
Revolution Software,2,2,2,2,2,2,2,2,2,2
Rising Star Games,85,85,85,85,85,85,85,85,85,85
Riverhillsoft,1,1,1,1,1,1,1,1,1,1
Rocket Company,17,17,17,17,17,17,17,17,17,17
Rondomedia,14,14,14,14,14,14,14,14,14,14
Russel,6,6,6,6,6,6,6,6,6,6
SCS Software,1,1,1,1,1,1,1,1,1,1
SCi,17,17,17,17,17,17,17,17,17,17
SNK,22,22,22,22,22,22,22,22,22,22
SNK Playmore,18,18,18,18,18,18,18,18,18,18
SPS,1,1,1,1,1,1,1,1,1,1
SSI,1,1,1,1,1,1,1,1,1,1
Sammy Corporation,11,11,11,11,11,11,11,11,11,11
Saurus,1,1,1,1,1,1,1,1,1,1
Scholastic Inc.,10,10,10,10,10,10,10,10,10,10
Screenlife,6,6,6,6,6,6,6,6,6,6
Sega,632,632,632,632,632,632,632,632,632,632
Seta Corporation,6,6,6,6,6,6,6,6,6,6
Seventh Chord,1,1,1,1,1,1,1,1,1,1
Shogakukan,5,5,5,5,5,5,5,5,5,5
Simon & Schuster Interactive,1,1,1,1,1,1,1,1,1,1
Slightly Mad Studios,3,3,3,3,3,3,3,3,3,3
Slitherine Software,3,3,3,3,3,3,3,3,3,3
Societa,1,1,1,1,1,1,1,1,1,1
Sold Out,1,1,1,1,1,1,1,1,1,1
Sonnet,2,2,2,2,2,2,2,2,2,2
Sony Computer Entertainment,682,682,682,682,682,682,682,682,682,682
Sony Computer Entertainment America,3,3,3,3,3,3,3,3,3,3
Sony Computer Entertainment Europe,15,15,15,15,15,15,15,15,15,15
Sony Music Entertainment,1,1,1,1,1,1,1,1,1,1
Sony Online Entertainment,8,8,8,8,8,8,8,8,8,8
SouthPeak Games,37,37,37,37,37,37,37,37,37,37
Spike,37,37,37,37,37,37,37,37,37,37
Square,6,6,6,6,6,6,6,6,6,6
Square EA,1,1,1,1,1,1,1,1,1,1
Square Enix,231,231,231,231,231,231,231,231,231,231
SquareSoft,52,52,52,52,52,52,52,52,52,52
Stainless Games,1,1,1,1,1,1,1,1,1,1
Starfish,10,10,10,10,10,10,10,10,10,10
Starpath Corp.,1,1,1,1,1,1,1,1,1,1
Sting,9,9,9,9,9,9,9,9,9,9
Storm City Games,19,19,19,19,19,19,19,19,19,19
Strategy First,1,1,1,1,1,1,1,1,1,1
Success,19,19,19,19,19,19,19,19,19,19
Summitsoft,1,1,1,1,1,1,1,1,1,1
Sunflowers,1,1,1,1,1,1,1,1,1,1
Sunrise Interactive,4,4,4,4,4,4,4,4,4,4
Sunsoft,10,10,10,10,10,10,10,10,10,10
Sweets,2,2,2,2,2,2,2,2,2,2
Swing! Entertainment,6,6,6,6,6,6,6,6,6,6
Syscom,2,2,2,2,2,2,2,2,2,2
System 3,3,3,3,3,3,3,3,3,3,3
System 3 Arcade Software,13,13,13,13,13,13,13,13,13,13
System Soft,4,4,4,4,4,4,4,4,4,4
T&E Soft,1,1,1,1,1,1,1,1,1,1
TDK Core,5,5,5,5,5,5,5,5,5,5
TDK Mediactive,36,36,36,36,36,36,36,36,36,36
TGL,4,4,4,4,4,4,4,4,4,4
THQ,712,712,712,712,712,712,712,712,712,712
TOHO,1,1,1,1,1,1,1,1,1,1
TYO,1,1,1,1,1,1,1,1,1,1
Taito,19,19,19,19,19,19,19,19,19,19
Takara,16,16,16,16,16,16,16,16,16,16
Takara Tomy,37,37,37,37,37,37,37,37,37,37
Take-Two Interactive,412,412,412,412,412,412,412,412,412,412
Takuyo,1,1,1,1,1,1,1,1,1,1
TalonSoft,1,1,1,1,1,1,1,1,1,1
Team17 Software,1,1,1,1,1,1,1,1,1,1
TechnoSoft,1,1,1,1,1,1,1,1,1,1
Technos Japan Corporation,1,1,1,1,1,1,1,1,1,1
Tecmo Koei,338,338,338,338,338,338,338,338,338,338
Telegames,8,8,8,8,8,8,8,8,8,8
Telltale Games,25,25,25,25,25,25,25,25,25,25
Telstar,3,3,3,3,3,3,3,3,3,3
Tetris Online,1,1,1,1,1,1,1,1,1,1
The Adventure Company,5,5,5,5,5,5,5,5,5,5
The Learning Company,1,1,1,1,1,1,1,1,1,1
Tigervision,3,3,3,3,3,3,3,3,3,3
Time Warner Interactive,5,5,5,5,5,5,5,5,5,5
Titus,19,19,19,19,19,19,19,19,19,19
